,Address,Attached,Detached,Semi-attached
379,"669 MELROSE AVENUE, Bronx, New York, 10455",0.55283327562,0.268668615512,0.178498108869
380,"389 EAST 153 STREET, Bronx, New York, 10455",0.55283327562,0.268668615512,0.178498108869
381,"16 PLEASANT PLAINS AVE, Staten Island, New York, 10309",0.396180408385,0.356574870678,0.247244720937
382,"328 EAST 151 STREET, Bronx, New York, 10451",0.324568196883,0.489404905693,0.186026897424
383,"330 EAST 151 STREET, Bronx, New York, 10451",0.126777259792,0.796838296279,0.0763844439282
384,"327 EAST 150 STREET, Bronx, New York, 10451",0.150617112819,0.736501855685,0.112881031496
385,"319 EAST 150 STREET, Bronx, New York, 10451",0.125210943527,0.813934835998,0.0608542204751
386,"756 WOODROW ROAD, Staten Island, New York, 10312",0.114600438444,0.824668326181,0.0607312353743
387,"25 MADERA STREET, Staten Island, New York, 10309",0.196659812473,0.740952458596,0.0623877289304
388,"237 BAYVIEW AVENUE, Staten Island, New York, 10309",0.0433579927371,0.916520749505,0.0401212577584
389,"119 BAYVIEW AVENUE, Staten Island, New York, 10309",0.0611307279249,0.902327412636,0.0365418594387
390,"243 BAYVIEW AVENUE, Staten Island, New York, 10309",0.0810446036134,0.87143204202,0.047523354367
391,"51 BAYVIEW AVENUE, Staten Island, New York, 10309",0.0613731007175,0.891668031661,0.0469588676219
392,"111 FLORENCE PLACE, Staten Island, New York, 10309",0.0446690779412,0.913781278487,0.0415496435723
393,"5890 AMBOY ROAD, Staten Island, New York, 10309",0.090080152491,0.840827443148,0.0690924043607
394,"5870 AMBOY ROAD, Staten Island, New York, 10309",0.113204013695,0.817992593068,0.0688033932362
395,"5862 AMBOY ROAD, Staten Island, New York, 10309",0.0658549730119,0.884280337243,0.0498646897449
396,"81 WATERBURY AVENUE, Staten Island, New York, 10309",0.114008242675,0.764026105014,0.121965652311
397,"151B WATERBURY AVENUE, Staten Island, New York, 10309",0.189216632721,0.678020589201,0.132762778078
398,"39 STEVENSON PLACE, Staten Island, New York, 10309",0.0446690779412,0.913781278487,0.0415496435723
399,"43 INDALE AVENUE, Staten Island, New York, 10309",0.75028016466,0.121253273175,0.128466562166
400,"41 INDALE AVENUE, Staten Island, New York, 10309",0.75028016466,0.121253273175,0.128466562166
